host,replicate_id,tissue,treatment_raw,isolate,concentration,score,is_mixture_treatment,source_file,n_components,is_mixture_clean,mixture_unknown,isolate_1,isolate_2,isolate_3,ratio_1,ratio_2,ratio_3,mixture_label,isolate_clean,treatment_id
BTx398,Plant #3,leaf,AMP99 10 6,AMP99,1000000,2,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #3,leaf,AMP99 10 6/2,AMP99,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #3,leaf,AMP99 10 5,AMP99,100000,2.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #3,leaf,AMP99 10 5/2,AMP99,50000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #3,leaf,AMP99 10 4,AMP99,10000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #3,leaf,AMP99 10 4/2,AMP99,5000,3.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
BTx398,Plant #4,leaf,AMP99 10 6,AMP99,1000000,3.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #4,leaf,AMP99 10 6/2,AMP99,500000,4.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #4,leaf,AMP99 10 5,AMP99,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #4,leaf,AMP99 10 5/2,AMP99,50000,4.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #4,leaf,AMP99 10 4,AMP99,10000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #4,leaf,AMP99 10 4/2,AMP99,5000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
BTx398,Plant #5,leaf,AMP99 10 6,AMP99,1000000,2,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #5,leaf,AMP99 10 6/2,AMP99,500000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #5,leaf,AMP99 10 5,AMP99,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #5,leaf,AMP99 10 5/2,AMP99,50000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #5,leaf,AMP99 10 4,AMP99,10000,3,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #5,leaf,AMP99 10 4/2,AMP99,5000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
BTx398,Plant #6,leaf,AMP99 10 6,AMP99,1000000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #6,leaf,AMP99 10 6/2,AMP99,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #6,leaf,AMP99 10 5,AMP99,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #6,leaf,AMP99 10 5/2,AMP99,50000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #6,leaf,AMP99 10 4,AMP99,10000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #6,leaf,AMP99 10 4/2,AMP99,5000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
BTx398,Plant #7,leaf,AMP99 10 6,AMP99,1000000,4,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #7,leaf,AMP99 10 6/2,AMP99,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #7,leaf,AMP99 10 5,AMP99,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #7,leaf,AMP99 10 5/2,AMP99,50000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #7,leaf,AMP99 10 4,AMP99,10000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #7,leaf,AMP99 10 4/2,AMP99,5000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
BTx398,Plant #1,leaf,AMP170 10 6,AMP170,1000000,3.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #1,leaf,AMP170 10 6/2,AMP170,500000,3.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #1,leaf,AMP170 10 5,AMP170,100000,1.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #1,leaf,AMP170 10 5/2,AMP170,50000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #1,leaf,AMP170 10 4,AMP170,10000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #1,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #2,leaf,AMP170 10 6,AMP170,1000000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #2,leaf,AMP170 10 6/2,AMP170,500000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #2,leaf,AMP170 10 5,AMP170,100000,1.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #2,leaf,AMP170 10 5/2,AMP170,50000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #2,leaf,AMP170 10 4,AMP170,10000,2,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #2,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #3,leaf,AMP170 10 6,AMP170,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #3,leaf,AMP170 10 6/2,AMP170,500000,2.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #3,leaf,AMP170 10 5,AMP170,100000,2.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #3,leaf,AMP170 10 5/2,AMP170,50000,1.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #3,leaf,AMP170 10 4,AMP170,10000,2,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #3,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #4,leaf,AMP170 10 6,AMP170,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #4,leaf,AMP170 10 6/2,AMP170,500000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #4,leaf,AMP170 10 5,AMP170,100000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #4,leaf,AMP170 10 5/2,AMP170,50000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #4,leaf,AMP170 10 4,AMP170,10000,2,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #4,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #5,leaf,AMP170 10 6,AMP170,1000000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #5,leaf,AMP170 10 6/2,AMP170,500000,4.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #5,leaf,AMP170 10 5,AMP170,100000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #5,leaf,AMP170 10 5/2,AMP170,50000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #5,leaf,AMP170 10 4,AMP170,10000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #5,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #6,leaf,AMP170 10 6,AMP170,1000000,4,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #6,leaf,AMP170 10 6/2,AMP170,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #6,leaf,AMP170 10 5,AMP170,100000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #6,leaf,AMP170 10 5/2,AMP170,50000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #6,leaf,AMP170 10 4,AMP170,10000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #6,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #7,leaf,AMP170 10 6,AMP170,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e6
BTx398,Plant #7,leaf,AMP170 10 6/2,AMP170,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e6
BTx398,Plant #7,leaf,AMP170 10 5,AMP170,100000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e5
BTx398,Plant #7,leaf,AMP170 10 5/2,AMP170,50000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e5
BTx398,Plant #7,leaf,AMP170 10 4,AMP170,10000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_1e4
BTx398,Plant #7,leaf,AMP170 10 4/2,AMP170,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP170,,,1,,,,AMP170,AMP170_0.5e4
BTx398,Plant #1,leaf,Mixture 10 6,Mixture 10 6,1000000,4.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #1,leaf,Mixture 10 5,Mixture 10 5,100000,3.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #1,leaf,Mixture 10 4,Mixture 10 4,10000,1,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
BTx398,Plant #2,leaf,Mixture 10 6,Mixture 10 6,1000000,4,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #2,leaf,Mixture 10 5,Mixture 10 5,100000,3.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #2,leaf,Mixture 10 4,Mixture 10 4,10000,4,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
BTx398,Plant #3,leaf,Mixture 10 6,Mixture 10 6,1000000,4.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #3,leaf,Mixture 10 5,Mixture 10 5,100000,3.67,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #3,leaf,Mixture 10 4,Mixture 10 4,10000,2.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
BTx398,Plant #4,leaf,Mixture 10 6,Mixture 10 6,1000000,5,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #4,leaf,Mixture 10 5,Mixture 10 5,100000,4,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #4,leaf,Mixture 10 4,Mixture 10 4,10000,1.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
BTx398,Plant #5,leaf,Mixture 10 6,Mixture 10 6,1000000,3,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #5,leaf,Mixture 10 5,Mixture 10 5,100000,1.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #5,leaf,Mixture 10 4,Mixture 10 4,10000,2,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
BTx398,Plant #6,leaf,Mixture 10 6,Mixture 10 6,1000000,2.33,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #6,leaf,Mixture 10 5,Mixture 10 5,100000,1.67,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #6,leaf,Mixture 10 4,Mixture 10 4,10000,1,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
BTx398,Plant #7,leaf,Mixture 10 6,Mixture 10 6,1000000,5,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e6
BTx398,Plant #7,leaf,Mixture 10 5,Mixture 10 5,100000,1.67,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e5
BTx398,Plant #7,leaf,Mixture 10 4,Mixture 10 4,10000,1,TRUE,mixture_02_Raw score of second experiments.xlsx,2,TRUE,TRUE,AMP99,AMP170,,1,1,,AMP99+AMP170,,AMP99+AMP170_1e4
RTx2536,Plant #1,leaf,AMP20 10 6,AMP20,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e6
RTx2536,Plant #1,leaf,AMP20 10 6/2,AMP20,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e6
RTx2536,Plant #1,leaf,AMP20 10 5,AMP20,100000,4.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e5
RTx2536,Plant #1,leaf,AMP20 10 5/2,AMP20,50000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e5
RTx2536,Plant #1,leaf,AMP20 10 4,AMP20,10000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e4
RTx2536,Plant #1,leaf,AMP20 10 4/2,AMP20,5000,1.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e4
RTx2536,Plant #2,leaf,AMP20 10 6,AMP20,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e6
RTx2536,Plant #2,leaf,AMP20 10 6/2,AMP20,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e6
RTx2536,Plant #2,leaf,AMP20 10 5,AMP20,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e5
RTx2536,Plant #2,leaf,AMP20 10 5/2,AMP20,50000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e5
RTx2536,Plant #2,leaf,AMP20 10 4,AMP20,10000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e4
RTx2536,Plant #2,leaf,AMP20 10 4/2,AMP20,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e4
RTx2536,Plant #3,leaf,AMP20 10 6,AMP20,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e6
RTx2536,Plant #3,leaf,AMP20 10 6/2,AMP20,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e6
RTx2536,Plant #3,leaf,AMP20 10 5,AMP20,100000,3.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e5
RTx2536,Plant #3,leaf,AMP20 10 5/2,AMP20,50000,3,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e5
RTx2536,Plant #3,leaf,AMP20 10 4,AMP20,10000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e4
RTx2536,Plant #3,leaf,AMP20 10 4/2,AMP20,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e4
RTx2536,Plant #4,leaf,AMP20 10 6,AMP20,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e6
RTx2536,Plant #4,leaf,AMP20 10 6/2,AMP20,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e6
RTx2536,Plant #4,leaf,AMP20 10 5,AMP20,100000,3,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e5
RTx2536,Plant #4,leaf,AMP20 10 5/2,AMP20,50000,4.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e5
RTx2536,Plant #4,leaf,AMP20 10 4,AMP20,10000,4.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e4
RTx2536,Plant #4,leaf,AMP20 10 4/2,AMP20,5000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e4
RTx2536,Plant #5,leaf,AMP20 10 6,AMP20,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e6
RTx2536,Plant #5,leaf,AMP20 10 6/2,AMP20,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_0.5e6
RTx2536,Plant #5,leaf,AMP20 10 5,AMP20,100000,1.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP20,,,1,,,,AMP20,AMP20_1e5
